Measure Names,Year of Season,Measure Values
Africa (MiLB),2011,9
Africa (MiLB),2010,9
Africa (MiLB),2009,7
Africa (MiLB),2008,2
Africa (MiLB),2007,1
Africa (MiLB),2006,2
Africa (MiLB),2005,4
Africa (MiLB),2004,3
Africa (MiLB),2003,2
Africa (MiLB),2002,5
Africa (MiLB),2001,3
Africa (MiLB),2000,4
Africa (MiLB),1999,2
Africa (MiLB),1998,3
Africa (MiLB),1997,2
Africa (MiLB),1996,
Africa (MiLB),1995,
Africa (MiLB),1994,
Africa (MiLB),1993,
Africa (MiLB),1992,
Africa (MiLB),1991,
Africa (MiLB),1990,
Africa (MiLB),1989,
Africa (MiLB),1988,
Africa (MiLB),1987,
Africa (MiLB),1986,
Africa (MiLB),1985,
Africa (MiLB),1984,
Africa (MiLB),1983,
Africa (MiLB),1982,
Africa (MiLB),1981,
Africa (MiLB),1980,
Africa (MiLB),1979,
Africa (MiLB),1978,
Africa (MiLB),1977,
Africa (MiLB),1976,
Africa (MiLB),1975,
Africa (MiLB),1974,
Africa (MiLB),1973,
Africa (MiLB),1972,
Africa (MiLB),1971,
Africa (MiLB),1970,
Africa (MiLB),1969,
Africa (MiLB),1968,
Africa (MiLB),1967,
Africa (MiLB),1966,1
Africa (MiLB),1965,
Africa (MiLB),1964,
Africa (MiLB),1963,
Africa (MiLB),1962,
Africa (MiLB),1961,
Africa (MiLB),1960,
